longitude,latitude,LC,city,dataset,B2,B3,B4,B8,B11,B12,NDVI,EVI,SAVI,NDBI,elevation,slope,aspect,texture_contrast,texture_entropy
-75.60558299381438,6.253846429219078,0,Medellin,training,0.0817,0.0916,0.1332,0.1782,0.2293,0.2124,0.12340426,0.06758594043593755,0.06675191928433497,0.18287335,1524,11.942888,67.5013,49587.64384920633,4.353741458929681
-75.61007457023497,6.251420977951956,0,Medellin,training,0.0648,0.0816,0.1114,0.1732,0.2052,0.1938,0.18388276,0.09390196973792538,0.09741266490566297,0.118865885,1551,5.415774,120.81321,57797.52281746031,4.332424432543413
-75.60944574953609,6.248726032099597,0,Medellin,training,0.1794,0.1914,0.201,0.2268,0.2364,0.2121,0.06030853,0.0593212294515963,0.04171155913172003,0.06205812,1559,4.160382,63.57127,127170.83630952382,4.32761091045619
-75.6035168686609,6.246749738474534,0,Medellin,training,0.0734,0.1016,0.0952,0.1538,0.1782,0.1523,0.34148473,0.15747080883168108,0.16090535795363523,0.059975497,1533,4.7455764,78.7555,67722.32242063491,4.353741458929681
-75.60989490717814,6.2530379454633715,0,Medellin,training,0.0778,0.0975,0.1126,0.1526,0.2278,0.2138,0.10705788,0.058507401052517276,0.053842054068632156,0.2324508,1541,3.9405792,314.82904,68613.52976190476,4.34961558285492
-75.59210826455258,6.240371699957286,0,Medellin,training,0.0548,0.0598,0.0678,0.105,0.1613,0.1503,0.21527776,0.0813265235408485,0.07901907478338137,0.20504475,1499,3.839841,76.04366,231611.79761904757,4.2767251055341315
-75.59785748237096,6.240371699957286,0,Medellin,training,0.0689,0.0824,0.118,0.1362,0.1402,0.1378,0.07159715,0.039851658997349576,0.041737213281315196,-0.006069782,1515,3.3464515,213.8474,137449.38194444444,4.353741458929681
-75.59839647154142,6.242617488167585,0,Medellin,training,0.0544,0.057,0.0616,0.1026,0.1445,0.1319,0.23725614,0.08942973898717077,0.08582486172792758,0.18423235,1517,2.0755045,333.2984,131225.42063492065,4.348927936842459
-75.58510140533645,6.237586922576515,0,Medellin,training,0.0478,0.0744,0.0745,0.1908,0.178,0.1371,0.4823336,0.2612604537030623,0.23688458031387633,-0.041484706,1483,17.855839,221.08282,94360.34424603175,4.348927936842459
-75.58007083974539,6.242168330525525,0,Medellin,training,0.0712,0.0818,0.0987,0.1598,0.1464,0.1393,0.30555552,0.15406160867224275,0.1506444537194348,-0.054089688,1479,18.855024,174.52742,121104.00396825398,4.287727441733496
-75.57027920314847,6.241898835940289,0,Medellin,training,0.1144,0.1332,0.1472,0.1676,0.2647,0.2835,0.07460647,0.04669296604644646,0.041277476813947396,0.20573962,1475,3.7047918,180.0,43632.0744047619,4.353741458929681
-75.57369280122813,6.241180183712993,0,Medellin,training,0.1011,0.104,0.1268,0.1312,0.2307,0.2204,0.017054264,0.009702315232888835,0.008707123948310743,0.27493784,1473,3.8398466,76.043686,241715.41765873015,4.300105069957781
-75.57288431747243,6.246839570002947,0,Medellin,training,0.1006,0.1142,0.1348,0.1488,0.2091,0.184,0.06285714,0.03668195047918861,0.03384615361102704,0.15215665,1472,7.4788847,262.91687,255044.6825396825,4.353741458929681
-75.57656741013732,6.248456537514362,0,Medellin,training,0.084,0.0933,0.1086,0.129,0.1764,0.1726,0.13268034,0.0671110816729832,0.06168921790261182,0.13966855,1469,5.87683,71.66722,88379.04662698414,4.269848645409529
-75.56731476271088,6.246839570002947,0,Medellin,training,0.2684,0.285,0.291,0.2934,0.407,0.4132,0.008247409,0.010757489799811771,0.006654332581527049,0.17698345,1487,2.075508,206.70178,326924.4712301587,4.353741458929681
-75.56318251240394,6.246659906946123,0,Medellin,training,0.0504,0.0389,0.0542,0.0598,0.1481,0.1229,0.1347379,0.042478425084984804,0.048224202529378674,0.33849558,1505,6.2269125,243.57118,429482.1111111111,4.345489706780159
-75.563631670046,6.240551363014109,0,Medellin,training,0.2764,0.2784,0.2884,0.2968,0.2472,0.2287,0.008415185,0.010787535705908645,0.006726487738393521,-0.08097302,1540,11.09384,265.26447,192360.6656746032,4.273974521484291
-75.57360296969972,6.243875129565352,0,Medellin,training,0.1568,0.1896,0.2008,0.2344,0.3139,0.3167,0.060820345,0.05184051857426709,0.041874036592040906,0.1449936,1470,4.719679,168.62433,295511.824404762,4.34961558285492
-75.57656741013732,6.245581928605179,0,Medellin,training,0.0658,0.085,0.0753,0.1666,0.1709,0.1391,0.3774287,0.20290693088932207,0.18459361642412847,0.012740729,1462,28.350225,275.16376,27530.578373015873,4.345489706780158
-75.57468094804067,6.23686827034922,0,Medellin,training,0.0995,0.1064,0.1136,0.1362,0.2051,0.2047,0.07667982,0.041711444667324224,0.038645404695106564,0.2018752,1477,7.468667,240.40141,137838.25496031746,4.333112078555873
